00000000000000000000000
00000000000000000000000
00CCCCC0000000000000000
00CF7272230623C62222300
00CC101CC101C524CCCC100
00CC528CC101CC00000C100
0000CC1CC101CC00000C100
00000C1C0524CC00000C100
000CCC1C00000000000C100
0006228CC0G062222272400
0001CC1CC01C1CCCCC1CC00
0001CC1CC01C1C00001C000
0001CC1CC01C1C062293000
0001CC1CC01C1C01CCC1000
000522B2301C1C01CCC1000
000000101C1C1C01CCC1000
00000010A2B292292274000
000622401C1CCCCCCC1C000
0001CCC01C1C00000C1C000
00C522224C1CCCCCCC1CC00
00CCC000005222222292HC0
00000000000000000000C00
00000000000000000000000
00000000000000000000000
#20.75 3.65 90
&3.5 20.5
@19.637413 3.337724 270.02213
@15.979779 3.336311 270.02213
@10.2908125 3.6588552 228.84532
@9.172056 7.9164777 270.17453
@8.628719 5.246583 359.06445
@7.640007 4.695357 462.1284
@3.6673079 5.252803 359.64124
@6.3600526 6.2694483 318.78424
@6.334348 8.479136 539.8415
@4.178054 9.327787 631.0407
@4.484857 14.3221445 630.05194
@6.6581836 10.803481 718.1061
@6.329987 17.376394 539.89514
@5.1523533 9.674344 449.67233
@6.685043 6.7570724 360.93478
@6.5991554 4.6825786 449.57568
@9.830072 7.6419377 450.30215
@15.9691105 14.316068 630.92395
@19.492363 14.37289 630.92395
@16.647636 20.353392 990.0975
@14.134506 19.328154 988.9728
@11.353833 18.82391 1259.8977
@12.333232 20.322458 989.5996
@9.654375 17.37743 1079.8708
@7.4295607 20.331837 1348.7186
@5.302721 20.345064 1351.2373
